activity_id,name,description,type,course_id,laps,sport,sub_sport,training_effect,anaerobic_training_effect,start_time,stop_time,elapsed_time,moving_time,distance,cycles,avg_hr,max_hr,avg_rr,max_rr,calories,avg_cadence,max_cadence,avg_speed,max_speed,ascent,descent,max_temperature,min_temperature,avg_temperature,start_lat,start_long,stop_lat,stop_long,hr_zones_method,hrz_1_hr,hrz_2_hr,hrz_3_hr,hrz_4_hr,hrz_5_hr,hrz_1_time,hrz_2_time,hrz_3_time,hrz_4_time,hrz_5_time
9397910379,Running,,uncategorized,,1,running,generic,0.0,0.0,2022-08-13 14:23:16.000000,2022-08-13 14:23:47.000000,00:00:25.041000,00:00:16.616000,0.0,,80,83.0,,,1,,,0.0,0.0,0.0,0.0,89.6,89.6,89.6,,,,,max_heart_rate,,,,,,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000,00:00:00.000000
10023826042,Chicago - nov 23 speed work,,uncategorized,,26,running,generic,3.8,0.4,2022-11-23 05:52:15.000000,2022-11-23 07:07:01.000000,01:14:36.888000,01:13:45.685000,6.6208654788,5146.0,151,179.0,,,1240,69.0,83.0,5.386541870933533,7.972439660802841,62.3359581,65.616798,260.6,,260.6,41.92364011891186,-87.64702719636261,41.92386911250651,-87.64637751504779,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:00:23.996000,00:11:46.683000,00:23:21.249000,00:28:30.777000,00:09:17.850000
9513668357,Chicago - wednesday speed circuit,,uncategorized,,13,running,generic,3.1,0.0,2022-08-31 06:14:58.000000,2022-08-31 07:17:46.000000,01:02:35.452000,01:01:26.891000,5.071843000608,4375.0,141,159.0,,,907,70.0,78.0,4.9525762741336825,6.198549451202393,9.8425197,16.4041995,86.0,77.0,78.80000000000001,41.92361203953624,-87.6470437925309,41.922672260552645,-87.64735568314791,max_heart_rate,97.0,116.0,135.0,154.0,174.0,00:01:20.004000,00:10:25.588000,00:47:16.932000,00:02:07.018000,00:00:00.000000
10469216562,Chicago Running,,uncategorized,,11,running,generic,3.8,0.0,2023-02-08 05:35:39.000000,2023-02-08 07:19:34.000000,01:43:51.459000,01:42:14.910000,10.003871267504,7850.0,143,159.0,,,1622,77.0,80.0,5.869720226131439,8.160342532266617,68.8976379,78.7401576,260.6,,260.6,41.92361027933657,-87.64703214168549,41.92376693710685,-87.64712962321937,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:00:19.723000,00:08:08.603000,01:26:40.505000,00:06:55.221000,00:00:00.000000
10166176240,Chicago - repeats,,uncategorized,,22,running,generic,3.8,0.3,2022-12-21 05:58:04.000000,2022-12-21 07:18:55.000000,01:20:42.680000,01:20:23.193000,7.57634797304,5735.0,148,175.0,,,1320,71.0,81.0,5.654974468263626,8.746419951997757,62.3359581,52.4934384,260.6,,260.6,41.923606088384986,-87.64697221107781,41.92384916357696,-87.64632739126682,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:00:14.016000,00:12:45.180000,00:34:14.608000,00:31:45.214000,00:00:54.998000
10589116165,Chicago Running,,uncategorized,,16,running,generic,4.2,0.0,2023-02-26 06:57:43.000000,2023-02-26 09:35:23.000000,02:37:35.675000,02:37:06.471000,15.002280619696,12255.0,146,164.0,,,2402,78.0,81.0,5.728793339197159,7.889673161067963,150.9186354,150.9186354,260.6,,260.6,41.92357465624809,-87.6470760628581,41.924028201028705,-87.6465786807239,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:00:22.999000,00:00:56.002000,02:22:16.292000,00:13:18.162000,00:00:00.000000
10294132385,Indoor Cycling,,uncategorized,,1,cycling,indoor_cycling,3.7,0.7,2023-01-12 06:37:27.000000,2023-01-12 07:21:18.000000,00:43:46.547000,00:43:46.547000,17.999998982127998,,153,189.0,,,775,,,24.67117101332329,,,,260.6,,260.6,,,,,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:00:31.999000,00:05:27.999000,00:09:37.001000,00:20:32.157000,00:07:20.000000
10613636618,Strength,,uncategorized,,1,fitness_equipment,strength_training,0.4,0.0,2023-03-02 05:16:25.000000,2023-03-02 05:41:21.000000,00:24:49.339000,00:24:49.339000,0.0,197.0,101,138.0,,,179,,,0.0,,,,260.6,,260.6,,,,,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:12:59.353000,00:03:53.984000,00:00:15.001000,00:00:00.000000,00:00:00.000000
10646779859,Chicago Running,,uncategorized,,3,running,generic,2.4,0.0,2023-03-07 05:09:50.000000,2023-03-07 05:31:11.000000,00:21:17.171000,00:21:08.944000,2.065953606896,1620.0,135,146.0,,,328,76.0,79.0,5.860772064002991,9.538294967468262,59.0551182,55.774278300000006,260.6,,260.6,41.923776073381305,-87.64700699597597,41.92462323233485,-87.64744143001735,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:00:23.998000,00:06:16.577000,00:14:17.052000,00:00:00.000000,00:00:00.000000
10628985852,Chicago Running,,uncategorized,,19,running,generic,4.6,0.2,2023-03-04 07:46:39.000000,2023-03-04 11:02:29.000000,03:15:46.259000,03:08:41.632000,18.154310305935997,14479.0,143,155.0,,,2862,77.0,88.0,5.773532016530991,8.97458741973114,190.28871420000002,196.850394,260.6,,260.6,41.92364531569183,-87.64704287052155,41.923934910446405,-87.64638748951256,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:00:31.208000,00:04:46.573000,02:59:42.329000,00:03:39.873000,00:00:00.000000
10600016226,Chicago Running,,uncategorized,,3,running,generic,2.4,0.0,2023-02-28 04:58:46.000000,2023-02-28 05:21:47.000000,00:22:57.671000,00:21:57.436000,2.1114814747199997,1683.0,136,150.0,,,338,77.0,79.0,5.769057935466766,7.534000516265869,16.4041995,13.1233596,260.6,,260.6,41.92371379584074,-87.64705686829984,41.92449213936925,-87.64723682776093,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:00:42.650000,00:04:40.001000,00:16:34.510000,00:00:00.000000,00:00:00.000000
10607318231,Chicago - Tempo Run 1/4,,uncategorized,,6,running,generic,3.8,0.3,2023-03-01 05:46:01.000000,2023-03-01 06:32:37.000000,00:46:27.170000,00:46:14.248000,5.004368302,3613.0,153,170.0,,,802,78.0,82.0,6.493825468263626,8.265478370668411,72.1784778,78.7401576,260.6,,260.6,41.92366593517363,-87.6470345724374,41.92493235692382,-87.64653459191322,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:00:10.997000,00:02:27.098000,00:15:25.793000,00:28:09.536000,00:00:00.000000
10647239174,Treadmill Running,,uncategorized,,6,running,treadmill,3.5,0.0,2023-03-07 05:33:49.000000,2023-03-07 06:41:20.000000,01:06:57.572000,01:06:28.083000,5.999997589472,4712.0,155,174.0,,,1009,70.0,80.0,5.415622064533234,6.511720725866318,,,260.6,,260.6,,,,,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:00:32.131000,00:01:23.999000,00:22:28.096000,00:35:50.237000,00:06:12.996000
10610985306,Chicago Running,,uncategorized,,6,running,generic,3.4,0.0,2023-03-01 15:34:31.000000,2023-03-01 16:26:00.000000,00:51:23.206000,00:48:48.296000,5.006599024608,3766.0,147,158.0,,,803,76.0,80.0,6.156048081064224,7.806906661333084,75.4593177,65.616798,260.6,,260.6,41.923630479723215,-87.64701168984175,41.925033275038004,-87.6462385430932,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:01:05.267000,00:01:18.766000,00:32:42.055000,00:13:25.735000,00:00:00.000000
10600449218,Treadmill Running,,uncategorized,,7,running,treadmill,3.8,0.2,2023-02-28 05:25:54.000000,2023-02-28 06:28:50.000000,01:02:48.630000,01:02:48.630000,6.003663679552,4515.0,153,176.0,,,1025,71.0,79.0,5.735503660802841,6.699623064002991,,,260.6,,260.6,,,,,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:01:00.784000,00:04:29.995000,00:11:59.845000,00:42:12.178000,00:03:05.000000
10620340704,Chicago Running,,uncategorized,,7,running,generic,3.0,0.0,2023-03-03 05:09:54.000000,2023-03-03 06:15:55.000000,01:05:57.627000,01:05:16.285000,6.001165767328,5046.0,138,146.0,,,962,77.0,80.0,5.516284355197906,9.245256257602692,88.5826773,75.4593177,260.6,,260.6,41.923917308449745,-87.64681831933558,41.92548614926636,-87.64439955353737,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:00:14.832000,00:04:08.797000,01:00:52.215000,00:00:00.000000,00:00:00.000000
10613961166,Stair Stepper,,uncategorized,,1,fitness_equipment,stair_climbing,3.1,0.0,2023-03-02 05:42:29.000000,2023-03-02 06:32:04.000000,00:49:30.678000,00:49:30.678000,0.0,1075.0,142,158.0,,,728,4.0,79.0,0.0,,,,260.6,,260.6,,,,,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:02:10.056000,00:07:12.000000,00:34:27.941000,00:05:30.058000,00:00:00.000000
10636784500,Chicago Walking,,uncategorized,,2,walking,generic,0.3,0.0,2023-03-05 12:05:40.000000,2023-03-05 12:28:35.000000,00:21:32.568000,00:21:32.568000,1.0039121655680001,944.0,98,115.0,,,151,43.0,56.0,2.79617,16.112650161598207,22.9658793,6.5616798,260.6,,260.6,41.92380901426077,-87.64722215943038,41.92357582971454,-87.6470089238137,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:16:40.593000,00:00:04.999000,00:00:00.000000,00:00:00.000000,00:00:00.000000
10636371283,Chicago Running,,uncategorized,,16,running,generic,4.3,0.0,2023-03-05 08:43:32.000000,2023-03-05 11:23:24.000000,02:39:48.750000,02:37:11.440000,15.005524177359998,12149.0,142,155.0,,,2388,77.0,80.0,5.726556032001495,9.22512422613144,137.7952758,141.0761157,260.6,,260.6,41.923652440309525,-87.64707145281136,41.923688566312194,-87.64351727440953,max_heart_rate,95.0,114.0,133.0,152.0,171.0,00:01:12.667000,00:05:39.186000,02:28:57.690000,00:01:19.999000,00:00:00.000000
